Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,693854,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,591384,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,595873,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,646936,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,644016,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,642915,E,Estimated value
QV,Value of Agricultural Production,196,Cyprus,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,652514,E,Estimated value
QV,Value of Agricultural Production,203,Czechia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,4435037,E,Estimated value
QV,Value of Agricultural Production,203,Czechia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,6247833,E,Estimated value
QV,Value of Agricultural Production,203,Czechia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,5229584,E,Estimated value
QV,Value of Agricultural Production,203,Czechia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,6029232,E,Estimated value
QV,Value of Agricultural Production,203,Czechia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,6212191,E,Estimated value
QV,Value of Agricultural Production,203,Czechia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,4503618,E,Estimated value
QV,Value of Agricultural Production,203,Czechia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,4473534,E,Estimated value
QV,Value of Agricultural Production,203,Czechia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,4737764,E,Estimated value
QV,Value of Agricultural Production,203,Czechia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,4884555,E,Estimated value
QV,Value of Agricultural Production,203,Czechia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,4813251,E,Estimated value
QV,Value of Agricultural Production,203,Czechia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,4858534,E,Estimated value
QV,Value of Agricultural Production,208,Denmark,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,8302628,E,Estimated value
QV,Value of Agricultural Production,208,Denmark,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,10243489,E,Estimated value
QV,Value of Agricultural Production,208,Denmark,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,10320648,E,Estimated value
QV,Value of Agricultural Production,208,Denmark,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,10764713,E,Estimated value
QV,Value of Agricultural Production,208,Denmark,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,10522401,E,Estimated value
QV,Value of Agricultural Production,208,Denmark,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,7880420,E,Estimated value
QV,Value of Agricultural Production,208,Denmark,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,7707139,E,Estimated value
QV,Value of Agricultural Production,208,Denmark,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,9024947,E,Estimated value
QV,Value of Agricultural Production,208,Denmark,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,8266377,E,Estimated value
QV,Value of Agricultural Production,208,Denmark,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,9157892,E,Estimated value
QV,Value of Agricultural Production,208,Denmark,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,9552505,E,Estimated value
QV,Value of Agricultural Production,233,Estonia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,720676,E,Estimated value
QV,Value of Agricultural Production,233,Estonia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,892241,E,Estimated value
QV,Value of Agricultural Production,233,Estonia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,912596,E,Estimated value
QV,Value of Agricultural Production,233,Estonia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,958991,E,Estimated value
QV,Value of Agricultural Production,233,Estonia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,939429,E,Estimated value
QV,Value of Agricultural Production,233,Estonia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,766910,E,Estimated value
QV,Value of Agricultural Production,233,Estonia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,604197,E,Estimated value
QV,Value of Agricultural Production,233,Estonia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,748846,E,Estimated value
QV,Value of Agricultural Production,233,Estonia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,695691,E,Estimated value
QV,Value of Agricultural Production,233,Estonia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,775848,E,Estimated value
QV,Value of Agricultural Production,233,Estonia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,794978,E,Estimated value
QV,Value of Agricultural Production,246,Finland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,3047127,E,Estimated value
QV,Value of Agricultural Production,246,Finland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,3821034,E,Estimated value
QV,Value of Agricultural Production,246,Finland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,3669622,E,Estimated value
QV,Value of Agricultural Production,246,Finland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,4121780,E,Estimated value
QV,Value of Agricultural Production,246,Finland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,3762710,E,Estimated value
QV,Value of Agricultural Production,246,Finland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,2919048,E,Estimated value
QV,Value of Agricultural Production,246,Finland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,2864370,E,Estimated value
QV,Value of Agricultural Production,246,Finland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,2959366,E,Estimated value
QV,Value of Agricultural Production,246,Finland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,3191454,E,Estimated value
QV,Value of Agricultural Production,246,Finland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,3255758,E,Estimated value
QV,Value of Agricultural Production,246,Finland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,3215266,E,Estimated value
QV,Value of Agricultural Production,250,France,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,64419852,E,Estimated value
QV,Value of Agricultural Production,250,France,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,74030097,E,Estimated value
QV,Value of Agricultural Production,250,France,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,71636897,E,Estimated value
QV,Value of Agricultural Production,250,France,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,71224528,E,Estimated value
QV,Value of Agricultural Production,250,France,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,72353943,E,Estimated value
QV,Value of Agricultural Production,250,France,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,61627364,E,Estimated value
QV,Value of Agricultural Production,250,France,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,59339490,E,Estimated value
QV,Value of Agricultural Production,250,France,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,61832264,E,Estimated value
QV,Value of Agricultural Production,250,France,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,68367547,E,Estimated value
QV,Value of Agricultural Production,250,France,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,64309936,E,Estimated value
QV,Value of Agricultural Production,250,France,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,67047015,E,Estimated value
QV,Value of Agricultural Production,276,Germany,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,47686132,E,Estimated value
QV,Value of Agricultural Production,276,Germany,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,58355325,E,Estimated value
QV,Value of Agricultural Production,276,Germany,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,56475362,E,Estimated value
QV,Value of Agricultural Production,276,Germany,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,61019781,E,Estimated value
QV,Value of Agricultural Production,276,Germany,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,58986350,E,Estimated value
QV,Value of Agricultural Production,276,Germany,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,43808108,E,Estimated value
QV,Value of Agricultural Production,276,Germany,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,42135825,E,Estimated value
QV,Value of Agricultural Production,276,Germany,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,47256279,E,Estimated value
QV,Value of Agricultural Production,276,Germany,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,46481410,E,Estimated value
QV,Value of Agricultural Production,276,Germany,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,46917598,E,Estimated value
QV,Value of Agricultural Production,276,Germany,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,45960436,E,Estimated value
QV,Value of Agricultural Production,300,Greece,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,18818902,E,Estimated value
QV,Value of Agricultural Production,300,Greece,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,19281017,E,Estimated value
QV,Value of Agricultural Production,300,Greece,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,18140229,E,Estimated value
QV,Value of Agricultural Production,300,Greece,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,15810291,E,Estimated value
QV,Value of Agricultural Production,300,Greece,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,17843848,E,Estimated value
QV,Value of Agricultural Production,300,Greece,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,16028448,E,Estimated value
QV,Value of Agricultural Production,300,Greece,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,15186440,E,Estimated value
QV,Value of Agricultural Production,300,Greece,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,16299573,E,Estimated value
QV,Value of Agricultural Production,300,Greece,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,16389161,E,Estimated value
QV,Value of Agricultural Production,300,Greece,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,15544554,E,Estimated value
QV,Value of Agricultural Production,300,Greece,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,15888320,E,Estimated value
QV,Value of Agricultural Production,348,Hungary,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,6275811,E,Estimated value
QV,Value of Agricultural Production,348,Hungary,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,8542848,E,Estimated value
QV,Value of Agricultural Production,348,Hungary,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,7683578,E,Estimated value
QV,Value of Agricultural Production,348,Hungary,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,7972992,E,Estimated value
QV,Value of Agricultural Production,348,Hungary,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,8113290,E,Estimated value
QV,Value of Agricultural Production,348,Hungary,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,6666485,E,Estimated value
QV,Value of Agricultural Production,348,Hungary,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,7244710,E,Estimated value
QV,Value of Agricultural Production,348,Hungary,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,7556480,E,Estimated value
QV,Value of Agricultural Production,348,Hungary,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,7272407,E,Estimated value
QV,Value of Agricultural Production,348,Hungary,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,7022721,E,Estimated value
QV,Value of Agricultural Production,348,Hungary,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,6833778,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,5872186,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,7538271,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,6912610,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,7682503,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,8188107,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,6698347,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,6560555,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,8032454,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,8287689,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,8104654,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,8454771,E,Estimated value
QV,Value of Agricultural Production,380,Italy,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,42069378,E,Estimated value
QV,Value of Agricultural Production,380,Italy,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,46091007,E,Estimated value
QV,Value of Agricultural Production,380,Italy,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,44160397,E,Estimated value
QV,Value of Agricultural Production,380,Italy,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,43890133,E,Estimated value
QV,Value of Agricultural Production,380,Italy,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,41750316,E,Estimated value
QV,Value of Agricultural Production,380,Italy,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,37277564,E,Estimated value
QV,Value of Agricultural Production,380,Italy,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,35986497,E,Estimated value
QV,Value of Agricultural Production,380,Italy,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,37235953,E,Estimated value
QV,Value of Agricultural Production,380,Italy,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,40614680,E,Estimated value
QV,Value of Agricultural Production,380,Italy,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,39210651,E,Estimated value
QV,Value of Agricultural Production,380,Italy,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,40707847,E,Estimated value
QV,Value of Agricultural Production,428,Latvia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,1040945,E,Estimated value
QV,Value of Agricultural Production,428,Latvia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,1297495,E,Estimated value
QV,Value of Agricultural Production,428,Latvia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,1454596,E,Estimated value
QV,Value of Agricultural Production,428,Latvia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,1382961,E,Estimated value
QV,Value of Agricultural Production,428,Latvia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,1326309,E,Estimated value
QV,Value of Agricultural Production,428,Latvia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,1218114,E,Estimated value
QV,Value of Agricultural Production,428,Latvia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,1135007,E,Estimated value
QV,Value of Agricultural Production,428,Latvia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,1341072,E,Estimated value
QV,Value of Agricultural Production,428,Latvia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,1207115,E,Estimated value
QV,Value of Agricultural Production,428,Latvia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,1423039,E,Estimated value
QV,Value of Agricultural Production,428,Latvia,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,1528515,E,Estimated value
QV,Value of Agricultural Production,440,Lithuania,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,1681648,E,Estimated value
QV,Value of Agricultural Production,440,Lithuania,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,2382221,E,Estimated value
QV,Value of Agricultural Production,440,Lithuania,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,2605258,E,Estimated value
QV,Value of Agricultural Production,440,Lithuania,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,2416097,E,Estimated value
QV,Value of Agricultural Production,440,Lithuania,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,2322293,E,Estimated value
QV,Value of Agricultural Production,440,Lithuania,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,2043184,E,Estimated value
QV,Value of Agricultural Production,440,Lithuania,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,1811218,E,Estimated value
QV,Value of Agricultural Production,440,Lithuania,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,2040057,E,Estimated value
QV,Value of Agricultural Production,440,Lithuania,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,1905659,E,Estimated value
QV,Value of Agricultural Production,440,Lithuania,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,2088641,E,Estimated value
QV,Value of Agricultural Production,440,Lithuania,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,2448698,E,Estimated value
QV,Value of Agricultural Production,442,Luxembourg,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,253830,E,Estimated value
QV,Value of Agricultural Production,442,Luxembourg,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,291367,E,Estimated value
QV,Value of Agricultural Production,442,Luxembourg,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,272759,E,Estimated value
QV,Value of Agricultural Production,442,Luxembourg,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,301891,E,Estimated value
QV,Value of Agricultural Production,442,Luxembourg,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,308518,E,Estimated value
QV,Value of Agricultural Production,442,Luxembourg,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,244190,E,Estimated value
